id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
1243,FOR031-01,,0,0,FOR031,AR-P,1453,'FOR031' is not in list
1180,RNO043-01,,0,0,RNO043,AR-R,1566,'RNO043' is not in list
1200,SFE257-01,,0,0,SFE257,AR-S,1689,'SFE257' is not in list
1080,CAT018-01,,-28.153.194,-65.659.139,CAT018,AR-K,1342,'CAT018' is not in list
1065,BUE045-01,,-35.770.085,-58.496.426,BUE045,AR-B,1239,'BUE045' is not in list
534,BUE045-02,Plaza Manuel Belgrano,-35.765.778,-58.497.333,BUE045,AR-B,1239,'BUE045' is not in list
947,BUE045-03,PD General Belgrano,-35.768.484,-58.495.901,BUE045,AR-B,1239,'BUE045' is not in list
794,SJU014-01,Santa Lucia - Pza Sta Lucia,-31.540.527,-68.498.478,SJU014,AR-J,1592,'SJU014' is not in list
795,SJU014-02,,-31.539.722,-68.498.028,SJU014,AR-J,1592,'SJU014' is not in list
796,SJU014-03,,0,0,SJU014,AR-J,1592,'SJU014' is not in list
1291,CHU031-01,,0,0,CHU031,AR-U,1379,'CHU031' is not in list
1168,COR068-01,,0,0,COR068,AR-W,1414,'COR068' is not in list
916,SFE203-01,Punto Digital,-32.781.098,-60.906.851,SFE203,AR-S,1687,'SFE203' is not in list
198,SFE203-02,Plaza Ferrocarril,-32.782.851,-60.905.379,SFE203,AR-S,1687,'SFE203' is not in list
1293,NEU026-01,,0,0,NEU026,AR-Q,1554,'NEU026' is not in list
238,BUE111-01,PD San Andres de Giles,-34.442.227,-59.438.710,BUE111,AR-B,1306,'BUE111' is not in list
655,SJU003-01,Villa Nueva- Escuela Alvarez Condarco,-31.000.000,-70.000.000,SJU003,AR-J,1581,'SJU003' is not in list
268,SJU003-02,PD Calingasta,-31.339.258,-69.426.629,SJU003,AR-J,1581,'SJU003' is not in list
774,RNO069-01,,-41.709.999,-70.477.101,RNO069,AR-R,1576,'RNO069' is not in list
230,NEU031-01,Patinodromo,-38.955.486,-68.237.063,NEU031,AR-Q,1556,'NEU031' is not in list
778,SFE335-01,,0,0,SFE335,AR-S,1692,'SFE335' is not in list
606,CBA052-01,Delegacion Municipal,-32.366.056,-64.642.083,CBA052,AR-X,1391,'CBA052' is not in list
691,CBA357-01,,0,0,CBA357,AR-X,1393,'CBA357' is not in list
1279,SFE175-01,,0,0,SFE175,AR-S,1695,'SFE175' is not in list
1184,BUE036-01,,-34.410.389,-58.770.417,BUE036,AR-B,1230,'BUE036' is not in list
