municipio_id,provincia_id,id_departamento,municipio,provincia,departamento ,error
SFE101,AR-T,1646,Banda del Rio Sali,Tucuman,Cruz Alta,El formato del id de municipio no coincide con la provincia
FOR019,AR-T,1646,Banda del Rio Sali,Tucuman,Cruz Alta,El formato del id de municipio no coincide con la provincia
SGO068,AR-A,1680,Rivadavia Banda Norte,Salta,Rivadavia,El formato del id de municipio no coincide con la provincia
RNO042,AR-A,1680,Rivadavia Banda Norte,Salta,Rivadavia,El formato del id de municipio no coincide con la provincia
SFE255,AR-U,1377,Jose de San Martin,Chubut,Tehuelches,El formato del id de municipio no coincide con la provincia
CAT017,AR-X,1395,Quilino,Cordoba,Ischilin,El formato del id de municipio no coincide con la provincia
SJU006,AR-S,1696,Correa,Santa Fe,Iriondo,El formato del id de municipio no coincide con la provincia
CHU030,AR-B,1205,Baradero,Buenos Aires,Baradero,El formato del id de municipio no coincide con la provincia
CHU009,AR-B,1205,Baradero,Buenos Aires,Baradero,El formato del id de municipio no coincide con la provincia
NEU023,AR-X,1400,Las Penas,Cordoba,Totoral,El formato del id de municipio no coincide con la provincia
CAT015,AR-B,1294,Puan,Buenos Aires,Puan,El formato del id de municipio no coincide con la provincia
RNO068,AR-B,1294,Puan,Buenos Aires,Puan,El formato del id de municipio no coincide con la provincia
SFE326,AR-B,1267,Loberia,Buenos Aires,Loberia,El formato del id de municipio no coincide con la provincia
TDF001,AR-B,1267,Loberia,Buenos Aires,Loberia,El formato del id de municipio no coincide con la provincia
SLU011,AR-B,1267,Loberia,Buenos Aires,Loberia,El formato del id de municipio no coincide con la provincia
LAP070,AR-H,1360,Isla del Cerrito,Chaco,Bermejo,El formato del id de municipio no coincide con la provincia
MIS060,AR-Y,1467,Humahuaca,Jujuy,Humahuaca,El formato del id de municipio no coincide con la provincia
CHA049,AR-Y,1465,Coranzuli,Jujuy,Susques,El formato del id de municipio no coincide con la provincia
CBA160,AR-Y,1465,Coranzuli,Jujuy,Susques,El formato del id de municipio no coincide con la provincia
SFE015,AR-Y,1465,Coranzuli,Jujuy,Susques,El formato del id de municipio no coincide con la provincia
BUE115,AR-X,1383,Villa Allende,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
ERI054,AR-X,1383,Villa Allende,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
MIS042,AR-X,1383,Villa Allende,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
LRJ009,AR-X,1383,Villa Allende,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
LRJ011,AR-X,1383,Villa Allende,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
TUC006,AR-W,1427,Itati,Corrientes,Itati,El formato del id de municipio no coincide con la provincia
SAL043,AR-X,1387,Altos de Chipion,Cordoba,San Justo,El formato del id de municipio no coincide con la provincia
CHU024,AR-T,1649,Las Talitas,Tucuman,Tafi Viejo,El formato del id de municipio no coincide con la provincia
BUE049,AR-Z,1613,Veintiocho de Noviembre,Santa Cruz,Guer Aike,El formato del id de municipio no coincide con la provincia
CBA290,AR-W,1418,Concepcion,Corrientes,Concepcion,El formato del id de municipio no coincide con la provincia
SFE067,AR-B,1262,Laprida,Buenos Aires,Laprida,El formato del id de municipio no coincide con la provincia
CBA206,AR-A,1663,Cachi,Salta,Cachi,El formato del id de municipio no coincide con la provincia
CHA026,AR-S,1696,Villa Eloisa,Santa Fe,Iriondo,El formato del id de municipio no coincide con la provincia
SAL047,AR-B,1313,San Pedro,Buenos Aires,San Pedro,El formato del id de municipio no coincide con la provincia
MIS053,AR-B,1313,San Pedro,Buenos Aires,San Pedro,El formato del id de municipio no coincide con la provincia
FOR001,AR-T,1648,Amaicha del Valle,Tucuman,Tafi del Valle,El formato del id de municipio no coincide con la provincia
CAT028,AR-T,1648,Amaicha del Valle,Tucuman,Tafi del Valle,El formato del id de municipio no coincide con la provincia
TUC041,AR-E,1449,Villa Clara,Entre Rios,Villaguay,El formato del id de municipio no coincide con la provincia
COR010,AR-G,1625,Herrera,Santiago del Estero,Avellaneda,El formato del id de municipio no coincide con la provincia
CBA318,AR-R,1578,San Antonio Oeste,Rio Negro,San Antonio,El formato del id de municipio no coincide con la provincia
SFE160,AR-A,1671,La Candelaria,Salta,La Candelaria,El formato del id de municipio no coincide con la provincia
COR055,AR-T,1646,Alderetes,Tucuman,Cruz Alta,El formato del id de municipio no coincide con la provincia
SFE337,AR-G,1630,Vilelas,Santiago del Estero,Juan Felipe Ibarra,El formato del id de municipio no coincide con la provincia
SLU064,AR-X,1383,Jesus Maria,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
SFE011,AR-X,1383,Jesus Maria,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
MIS061,AR-W,1431,Saladas,Corrientes,Saladas,El formato del id de municipio no coincide con la provincia
SGO013,AR-S,1684,Granadero Baigorria,Santa Fe,Rosario,El formato del id de municipio no coincide con la provincia
SAL028,AR-S,1684,Granadero Baigorria,Santa Fe,Rosario,El formato del id de municipio no coincide con la provincia
SGO071,AR-S,1684,Granadero Baigorria,Santa Fe,Rosario,El formato del id de municipio no coincide con la provincia
COR045,AR-Q,1552,Guanacos,Neuquen,Minas,El formato del id de municipio no coincide con la provincia
NEU012,AR-F,1510,La Rioja,La Rioja,Capital,El formato del id de municipio no coincide con la provincia
SFE305,AR-R,1576,Mamuel Choique,Rio Negro,Norquinco,El formato del id de municipio no coincide con la provincia
SGO078,AR-S,1700,San Jeronimo Norte,Santa Fe,Las Colonias,El formato del id de municipio no coincide con la provincia
RNO053,AR-D,1599,Anchorena,San Luis,Gobernador Dupuy,El formato del id de municipio no coincide con la provincia
SFE288,AR-D,1599,Anchorena,San Luis,Gobernador Dupuy,El formato del id de municipio no coincide con la provincia
CAT031,AR-U,1377,Doctor Atilio Viglione,Chubut,Tehuelches,El formato del id de municipio no coincide con la provincia
CHU046,AR-E,1445,General Galarza,Entre Rios,Gualeguay,El formato del id de municipio no coincide con la provincia
SFE206,AR-M,1531,Tunuyan,Mendoza,Tunuyan,El formato del id de municipio no coincide con la provincia
NEU028,AR-M,1531,Tunuyan,Mendoza,Tunuyan,El formato del id de municipio no coincide con la provincia
